1,17,17,459,2
2,10,10,554,2
3,4,4,392,0
4,16,16,464,2
5,12,12,475,2
6,13,13,459,2
7,8,8,435,0
8,2,2,467,2
9,1,1,463,2
10,5,5,499,2
11,9,9,415,0
12,15,15,516,2
13,11,11,531,2
14,6,6,453,2
15,3,3,541,2
16,14,14,489,2
17,7,17,511,1
18,10,10,542,2
19,9,9,439,0
20,17,17,492,2
21,13,13,518,2
22,12,12,505,2
23,4,4,491,2
24,6,6,381,0
25,15,15,473,2
26,3,3,523,2
27,1,1,522,2
28,11,11,480,2
29,14,14,535,2
30,16,16,431,0
31,8,8,446,0
32,2,2,410,0
33,5,5,355,0
34,7,7,460,2
35,7,7,458,2
36,12,12,656,3
37,15,15,479,2
38,8,8,409,0
39,14,14,497,2
40,16,16,460,2
41,10,10,551,2
42,17,17,470,2
43,5,5,316,3
44,13,13,478,2
45,1,1,447,0
