1,2,2,387,2
2,10,10,419,2
3,12,12,433,2
4,7,7,355,0
5,1,1,415,2
6,8,8,346,0
7,5,5,350,0
8,4,4,375,2
9,13,13,393,2
10,3,3,443,2
11,11,11,406,2
12,9,9,389,2
13,6,6,411,2
14,8,8,394,2
15,3,3,427,2
16,4,4,413,2
17,9,9,395,2
18,12,12,433,2
19,1,1,440,2
20,5,5,362,0
21,2,2,455,2
22,10,10,464,2
23,13,13,453,2
24,6,6,445,2
25,7,7,398,2
26,11,11,429,2
27,8,8,403,2
28,11,11,422,2
29,9,9,406,2
30,2,2,421,2
31,4,4,373,2
32,7,7,418,2
33,13,13,398,2
34,10,10,467,2
35,1,1,445,2
36,3,3,472,2
37,5,5,368,0
38,6,5,419,1
39,12,12,472,2
40,2,2,452,2
41,10,10,467,2
42,8,8,387,2
43,5,5,373,2
44,11,11,449,2
45,12,12,437,2
