1,2,2,423,0
2,14,14,445,0
3,9,9,391,0
4,11,3,443,1
5,7,7,366,0
6,13,13,374,0
7,1,1,399,0
8,17,17,449,0
9,3,3,488,2
10,15,16,449,1
11,4,4,408,0
12,6,6,359,0
13,8,8,359,0
14,5,5,379,0
15,10,1,410,1
16,12,12,543,2
17,16,16,399,0
18,10,10,438,0
19,3,3,416,0
20,16,16,393,0
21,1,1,483,2
22,11,11,458,0
23,5,5,382,0
24,8,8,335,0
25,14,14,456,0
26,9,9,408,0
27,4,4,362,0
28,7,7,405,0
29,13,13,449,0
30,12,12,429,0
31,2,2,383,0
32,15,15,406,0
33,6,6,366,0
34,17,17,439,0
35,17,17,476,0
36,1,1,466,0
37,16,16,391,0
38,7,7,404,0
39,12,12,377,0
40,8,8,377,0
41,13,13,414,0
42,11,11,418,0
43,4,4,348,0
44,10,10,502,2
45,14,14,402,0
