1,3,3,475,2
2,14,14,473,2
3,2,2,451,2
4,13,13,423,2
5,1,1,436,2
6,10,10,425,2
7,9,9,444,2
8,11,11,486,2
9,6,6,347,0
10,17,17,458,2
11,7,7,396,0
12,5,5,353,0
13,4,4,374,0
14,12,12,380,0
15,15,15,490,2
16,16,16,0,2
17,8,16,501,1
18,7,7,399,0
19,13,13,441,2
20,17,17,468,2
21,15,15,461,2
22,14,14,440,2
23,1,1,485,2
24,16,16,529,2
25,4,4,390,0
26,3,3,537,2
27,10,10,469,2
28,5,5,431,2
29,12,12,419,2
30,11,11,508,2
31,2,2,445,2
32,8,8,466,2
33,9,9,1124,3
34,6,6,411,2
35,15,15,492,2
36,10,10,434,2
37,17,17,464,2
38,3,3,529,2
39,9,9,432,2
40,5,5,395,0
41,6,6,366,0
42,14,14,426,2
43,13,13,404,2
44,16,16,490,2
45,8,8,477,2
