1,8,8,385,0
2,5,5,358,0
3,10,10,463,0
4,13,13,465,0
5,9,9,398,0
6,2,2,420,0
7,6,6,376,0
8,7,7,413,0
9,4,4,360,0
10,3,3,441,0
11,1,1,469,0
12,11,11,582,2
13,12,12,426,0
14,2,2,422,0
15,13,13,475,0
16,9,9,437,0
17,12,12,472,0
18,3,3,440,0
19,7,7,415,0
20,10,10,523,2
21,1,1,458,0
22,8,8,488,0
23,4,4,388,0
24,11,11,690,3
25,6,6,384,0
26,5,5,328,0
27,1,1,435,0
28,4,4,378,0
29,12,12,479,0
30,8,8,399,0
31,2,2,420,0
32,6,6,385,0
33,9,9,423,0
34,11,3,393,1
35,13,13,580,2
36,10,10,678,3
37,7,7,422,0
38,3,3,433,0
39,5,5,383,0
40,12,12,423,0
41,10,10,532,2
42,7,7,467,0
43,4,4,410,0
44,2,2,415,0
45,13,13,469,0
